w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,
w, , , , , , , , , , ,c, ,w, , , , , ,w,
w, , , ,c, , , , ,w,w,w,w,w, , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , ,c, , , ,w,w,w,w,w, , , , , ,w,
w, , ,c, , ,c, , ,w, , ,c,w, , , , , ,w,
w, , , , , , , , ,w, , , ,w, , , , , ,w,
w, , , , , , , , ,w, , , ,w, , , , , ,w,
w,w,w,w,w,w,w,w,w,w,w, ,w,w,w,w, ,w,w,w,
w, , , , , , , , , , , , , , , , , , ,d:2:1:9,
w, , , , , , , , , , , , ,c, , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , ,c, , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,
