w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , ,c, , , , , , , , , ,c, , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , ,w,w,w,w, , , , ,c, , ,w,
w, , , , , ,c, ,w, ,c,w, , , , , , , ,w,
w, , , , ,w,w,w,w, , ,w, , , , , , , ,w,
w, , , , , , , , , , ,w, , , , , , , ,w,
w,w,w,w,w,w,w,w,w,w,w,w, ,w,w,w,w,w,w,w,
d:2:18:9, , , , , , , , , , , , , , , , , , ,w,
w,w,w,w,w,w,w,w,w,w,w,w,w,c,w,w,w,w,w,w,
w, , , , , , , , , , , ,w, ,w, , , , ,w,
w, , , , , ,c, , , , , ,w, ,w, , , , ,w,
w, ,c, , , , , , , , , ,w, ,w, , , , ,w,
w, , , ,c, , ,w,w,w,w,w,w, ,w, , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , ,c, , ,w,
w, , , , , ,c, , , , , , , , , , , , ,w,
w, , , , , , , , , , , , , , , , , , ,w,
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,
